Prospect ID,Lead,Initial Communication,Customer Evaluation,Negotiation,PO Received,Delivery,Payment
ProspectID 1168,0,0,0,0,0,0,0
ProspectID 1169,1,1,0,1,0,0,1
ProspectID 1170,1,1,1,1,0,0,0
ProspectID 1171,0,0,0,0,0,1,0
ProspectID 1172,1,1,1,1,1,1,0
ProspectID 1173,1,0,1,0,1,0,0
ProspectID 1174,0,0,0,0,0,1,0
ProspectID 1175,1,1,1,0,1,0,0
ProspectID 1176,1,1,0,0,0,0,0
ProspectID 1177,0,0,0,1,0,0,1
ProspectID 1178,1,1,0,1,0,0,1
ProspectID 1179,1,0,1,0,0,0,0
ProspectID 1180,0,0,0,1,0,0,1
ProspectID 1181,1,1,1,0,1,1,0
ProspectID 1182,1,1,1,0,1,1,0
ProspectID 1183,0,0,0,0,0,0,0
ProspectID 1184,1,1,1,0,1,1,0
ProspectID 1185,1,0,0,1,0,0,0
ProspectID 1186,0,0,0,1,0,0,0
ProspectID 1187,1,1,0,0,0,0,0
ProspectID 1188,1,1,1,1,0,0,1
ProspectID 1189,0,0,0,0,0,0,1
ProspectID 1190,1,1,1,0,1,0,0
ProspectID 1191,1,0,1,0,1,1,1
ProspectID 1192,0,0,0,0,0,1,0
ProspectID 1193,1,1,1,1,1,0,0
ProspectID 1194,1,1,0,1,0,1,0
ProspectID 1195,0,0,0,0,0,0,0
ProspectID 1196,1,1,0,1,0,0,0
ProspectID 1197,1,0,1,0,0,0,0
ProspectID 1198,0,0,0,0,0,0,0
ProspectID 1199,1,1,1,0,1,0,1
ProspectID 1200,1,1,1,0,1,0,1
ProspectID 1201,0,0,0,1,0,1,0
ProspectID 1202,1,1,1,1,1,1,1
ProspectID 1203,1,0,0,0,0,0,0
ProspectID 1204,0,0,0,1,0,1,0
ProspectID 1205,1,1,0,0,0,0,0
ProspectID 1206,1,1,1,0,0,0,0
ProspectID 1207,0,0,0,0,0,0,0
ProspectID 1208,1,1,1,0,1,0,0
ProspectID 1209,1,0,1,1,1,0,0
ProspectID 1210,0,0,0,1,0,0,1
ProspectID 1211,1,1,1,0,1,1,1
ProspectID 1212,1,1,0,1,0,1,0
ProspectID 1213,0,0,0,0,0,0,1
ProspectID 1214,1,1,0,0,0,1,0
ProspectID 1215,1,0,1,0,0,0,0
ProspectID 1216,0,0,0,0,0,0,0
ProspectID 1217,1,1,1,1,1,0,0
ProspectID 1218,1,1,1,1,1,0,0
ProspectID 1219,0,0,0,0,0,0,0
ProspectID 1220,1,1,1,1,1,0,0
ProspectID 1221,1,0,0,0,0,1,1
ProspectID 1222,0,0,0,0,0,1,1
ProspectID 1223,1,1,0,0,0,0,0
ProspectID 1224,1,1,1,0,0,1,1
ProspectID 1225,0,0,0,1,0,0,0
ProspectID 1226,1,1,1,1,1,0,0
ProspectID 1227,1,0,1,0,1,0,0
ProspectID 1228,0,0,0,1,0,0,0
ProspectID 1229,1,1,1,0,1,0,0
ProspectID 1230,1,1,0,0,0,0,0
ProspectID 1231,0,0,0,0,0,1,0
ProspectID 1232,1,1,0,0,0,1,1
ProspectID 1233,1,0,1,1,0,0,1
ProspectID 1234,0,0,0,1,0,1,0
ProspectID 1235,1,1,1,0,1,0,1
ProspectID 1236,1,1,1,1,1,0,0
ProspectID 1237,0,0,0,0,0,0,0
ProspectID 1238,1,1,1,0,1,0,0
ProspectID 1239,1,0,0,0,0,0,0
ProspectID 1240,0,0,0,0,0,0,0
ProspectID 1241,1,1,0,1,0,1,0
ProspectID 1242,1,1,1,1,0,1,0
ProspectID 1243,0,0,0,0,0,0,1
ProspectID 1244,1,1,1,1,1,1,1
ProspectID 1245,1,0,1,0,1,0,0
ProspectID 1246,0,0,0,0,0,0,1
ProspectID 1247,1,1,1,0,1,0,0
ProspectID 1248,1,1,0,0,0,0,0
ProspectID 1249,0,0,0,1,0,0,0
ProspectID 1250,1,1,0,1,0,0,0
ProspectID 1251,1,0,1,0,0,1,0
ProspectID 1252,0,0,0,1,0,1,0
ProspectID 1253,1,1,1,0,1,0,0
ProspectID 1254,1,1,1,0,1,1,1
ProspectID 1255,0,0,0,0,0,0,1
ProspectID 1256,1,1,1,0,1,0,0
ProspectID 1257,1,0,0,1,0,0,1
ProspectID 1258,0,0,0,1,0,0,0
ProspectID 1259,1,1,0,0,0,0,0
ProspectID 1260,1,1,1,1,0,0,0
ProspectID 1261,0,0,0,0,0,1,0
ProspectID 1262,1,1,1,0,1,1,0
ProspectID 1263,1,0,1,0,1,0,0
ProspectID 1264,0,0,0,0,0,1,0
ProspectID 1265,1,1,1,1,1,0,1
ProspectID 1266,1,1,0,1,0,0,1
ProspectID 1267,0,0,0,0,0,0,0
ProspectID 1268,1,1,0,1,0,0,1
ProspectID 1269,1,0,1,0,0,0,0
ProspectID 1270,0,0,0,0,0,0,0
ProspectID 1271,1,1,1,0,1,1,0
ProspectID 1272,1,1,1,0,1,1,0
ProspectID 1273,0,0,0,1,0,0,0
ProspectID 1274,1,1,1,1,1,1,0
ProspectID 1275,1,0,0,0,0,0,0
ProspectID 1276,0,0,0,1,0,0,1
ProspectID 1277,1,1,0,0,0,0,1
ProspectID 1278,1,1,1,0,0,0,0
ProspectID 1279,0,0,0,0,0,0,1
ProspectID 1280,1,1,1,0,1,0,0
ProspectID 1281,1,0,1,1,1,1,0
ProspectID 1282,0,0,0,1,0,1,0
ProspectID 1283,1,1,1,0,1,0,0
ProspectID 1284,1,1,0,1,0,1,0
ProspectID 1285,0,0,0,0,0,0,0
ProspectID 1286,1,1,0,0,0,0,0
ProspectID 1287,1,0,1,0,0,0,1
ProspectID 1288,0,0,0,0,0,0,1
ProspectID 1289,1,1,1,1,1,0,0
ProspectID 1290,1,1,1,1,1,0,1
ProspectID 1291,0,0,0,0,0,1,0
ProspectID 1292,1,1,1,1,1,1,0
ProspectID 1293,1,0,0,0,0,0,0
ProspectID 1294,0,0,0,0,0,1,0
ProspectID 1295,1,1,0,0,0,0,0
ProspectID 1296,1,1,1,0,0,0,0
ProspectID 1297,0,0,0,1,0,0,0
ProspectID 1298,1,1,1,1,1,0,1
ProspectID 1299,1,0,1,0,1,0,1
ProspectID 1300,0,0,0,1,0,0,0
ProspectID 1301,1,1,1,0,1,1,1
ProspectID 1302,1,1,0,0,0,1,0
ProspectID 1303,0,0,0,0,0,0,0
ProspectID 1304,1,1,0,0,0,1,0
ProspectID 1305,1,0,1,1,0,0,0
ProspectID 1306,0,0,0,1,0,0,0
ProspectID 1307,1,1,1,0,1,0,0
ProspectID 1308,1,1,1,1,1,0,0
ProspectID 1309,0,0,0,0,0,0,1
ProspectID 1310,1,1,1,0,1,0,1
ProspectID 1311,1,0,0,0,0,1,0
ProspectID 1312,0,0,0,0,0,1,1
ProspectID 1313,1,1,0,1,0,0,0
ProspectID 1314,1,1,1,1,0,1,0
ProspectID 1315,0,0,0,0,0,0,0
ProspectID 1316,1,1,1,1,1,0,0
ProspectID 1317,1,0,1,0,1,0,0
ProspectID 1318,0,0,0,0,0,0,0
ProspectID 1319,1,1,1,0,1,0,0
ProspectID 1320,1,1,0,0,0,0,1
ProspectID 1321,0,0,0,1,0,1,1
ProspectID 1322,1,1,0,1,0,1,0
ProspectID 1323,1,0,1,0,0,0,1
ProspectID 1324,0,0,0,1,0,1,0
ProspectID 1325,1,1,1,0,1,0,0
ProspectID 1326,1,1,1,0,1,0,0
ProspectID 1327,0,0,0,0,0,0,0
ProspectID 1328,1,1,1,0,1,0,0
ProspectID 1329,1,0,0,1,0,0,0
ProspectID 1330,0,0,0,1,0,0,0
ProspectID 1331,1,1,0,0,0,1,1
ProspectID 1332,1,1,1,1,0,1,1
ProspectID 1333,0,0,0,0,0,0,0
ProspectID 1334,1,1,1,0,1,1,1
ProspectID 1335,1,0,1,0,1,0,0
ProspectID 1336,0,0,0,0,0,0,0
ProspectID 1337,1,1,1,1,1,0,0
ProspectID 1338,1,1,0,1,0,0,0
ProspectID 1339,0,0,0,0,0,0,0
ProspectID 1340,1,1,0,1,0,0,0
ProspectID 1341,1,0,1,0,0,1,0
ProspectID 1342,0,0,0,0,0,1,1
ProspectID 1343,1,1,1,0,1,0,1
ProspectID 1344,1,1,1,0,1,1,0
ProspectID 1345,0,0,0,1,0,0,1
ProspectID 1346,1,1,1,1,1,0,0
ProspectID 1347,1,0,0,0,0,0,0
ProspectID 1348,0,0,0,1,0,0,0
ProspectID 1349,1,1,0,0,0,0,0
ProspectID 1350,1,1,1,0,0,0,0
ProspectID 1351,0,0,0,0,0,1,0
ProspectID 1352,1,1,1,0,1,1,0
ProspectID 1353,1,0,1,1,1,0,1
ProspectID 1354,0,0,0,1,0,1,1
ProspectID 1355,1,1,1,0,1,0,0
ProspectID 1356,1,1,0,1,0,0,1
ProspectID 1357,0,0,0,0,0,0,0
ProspectID 1358,1,1,0,0,0,0,0
ProspectID 1359,1,0,1,0,0,0,0
ProspectID 1360,0,0,0,0,0,0,0
ProspectID 1361,1,1,1,1,1,1,0
ProspectID 1362,1,1,1,1,1,1,0
ProspectID 1363,0,0,0,0,0,0,0
ProspectID 1364,1,1,1,1,1,1,1
ProspectID 1365,1,0,0,0,0,0,1
ProspectID 1366,0,0,0,0,0,0,0
ProspectID 1367,1,1,0,0,0,0,1
ProspectID 1368,1,1,1,0,0,0,0
ProspectID 1369,0,0,0,1,0,0,0
ProspectID 1370,1,1,1,1,1,0,0
ProspectID 1371,1,0,1,0,1,1,0
ProspectID 1372,0,0,0,1,0,1,0
ProspectID 1373,1,1,1,0,1,0,0
ProspectID 1374,1,1,0,0,0,1,0
ProspectID 1375,0,0,0,0,0,0,1
ProspectID 1376,1,1,0,0,0,0,1
ProspectID 1377,1,0,1,1,0,0,0
ProspectID 1378,0,0,0,1,0,0,1
ProspectID 1379,1,1,1,0,1,0,0
ProspectID 1380,1,1,1,1,1,0,0
ProspectID 1381,0,0,0,0,0,1,0
ProspectID 1382,1,1,1,0,1,1,0
ProspectID 1383,1,0,0,0,0,0,0
ProspectID 1384,0,0,0,0,0,1,0
ProspectID 1385,1,1,0,1,0,0,0
ProspectID 1386,1,1,1,1,0,0,1
ProspectID 1387,0,0,0,0,0,0,1
ProspectID 1388,1,1,1,1,1,0,0
ProspectID 1389,1,0,1,0,1,0,1
ProspectID 1390,0,0,0,0,0,0,0
ProspectID 1391,1,1,1,0,1,1,0
ProspectID 1392,1,1,0,0,0,1,0
ProspectID 1393,0,0,0,1,0,0,0
ProspectID 1394,1,1,0,1,0,1,0
ProspectID 1395,1,0,1,0,0,0,0
ProspectID 1396,0,0,0,1,0,0,0
ProspectID 1397,1,1,1,0,1,0,1
ProspectID 1398,1,1,1,0,1,0,1
ProspectID 1399,0,0,0,0,0,0,0
ProspectID 1400,1,1,1,0,1,0,1
ProspectID 1401,1,0,0,1,0,1,0
ProspectID 1402,0,0,0,1,0,1,0
ProspectID 1403,1,1,0,0,0,0,0
ProspectID 1404,1,1,1,1,0,1,0
ProspectID 1405,0,0,0,0,0,0,0
ProspectID 1406,1,1,1,0,1,0,0
ProspectID 1407,1,0,1,0,1,0,0
ProspectID 1408,0,0,0,0,0,0,1
ProspectID 1409,1,1,1,1,1,0,1
ProspectID 1410,1,1,0,1,0,0,0
ProspectID 1411,0,0,0,0,0,1,1
ProspectID 1412,1,1,0,1,0,1,0
ProspectID 1413,1,0,1,0,0,0,0
ProspectID 1414,0,0,0,0,0,1,0
ProspectID 1415,1,1,1,0,1,0,0
ProspectID 1416,1,1,1,0,1,0,0
ProspectID 1417,0,0,0,1,0,0,0
ProspectID 1418,1,1,1,1,1,0,0
ProspectID 1419,1,0,0,0,0,0,1
ProspectID 1420,0,0,0,1,0,0,1
ProspectID 1421,1,1,0,0,0,1,0
ProspectID 1422,1,1,1,0,0,1,1
ProspectID 1423,0,0,0,0,0,0,0
ProspectID 1424,1,1,1,0,1,1,0
ProspectID 1425,1,0,1,1,1,0,0
ProspectID 1426,0,0,0,1,0,0,0
ProspectID 1427,1,1,1,0,1,0,0
ProspectID 1428,1,1,0,1,0,0,0
ProspectID 1429,0,0,0,0,0,0,0
ProspectID 1430,1,1,0,0,0,0,1
ProspectID 1431,1,0,1,0,0,1,1
ProspectID 1432,0,0,0,0,0,1,0
ProspectID 1433,1,1,1,1,1,0,1
ProspectID 1434,1,1,1,1,1,1,0
ProspectID 1435,0,0,0,0,0,0,0
ProspectID 1436,1,1,1,1,1,0,0
ProspectID 1437,1,0,0,0,0,0,0
ProspectID 1438,0,0,0,0,0,0,0
ProspectID 1439,1,1,0,0,0,0,0
ProspectID 1440,1,1,1,0,0,0,0
ProspectID 1441,0,0,0,1,0,1,1
ProspectID 1442,1,1,1,1,1,1,1
ProspectID 1443,1,0,1,0,1,0,0
ProspectID 1444,0,0,0,1,0,1,1
ProspectID 1445,1,1,1,0,1,0,0
ProspectID 1446,1,1,0,0,0,0,0
ProspectID 1447,0,0,0,0,0,0,0
ProspectID 1448,1,1,0,0,0,0,0
ProspectID 1449,1,0,1,1,0,0,0
ProspectID 1450,0,0,0,1,0,0,0
ProspectID 1451,1,1,1,0,1,1,0
ProspectID 1452,1,1,1,1,1,1,1
ProspectID 1453,0,0,0,0,0,0,1
ProspectID 1454,1,1,1,0,1,1,0
ProspectID 1455,1,0,0,0,0,0,1
ProspectID 1456,0,0,0,0,0,0,0
ProspectID 1457,1,1,0,1,0,0,0
ProspectID 1458,1,1,1,1,0,0,0
ProspectID 1459,0,0,0,0,0,0,0
ProspectID 1460,1,1,1,1,1,0,0
ProspectID 1461,1,0,1,0,1,1,0
ProspectID 1462,0,0,0,0,0,1,0
ProspectID 1463,1,1,1,0,1,0,1
ProspectID 1464,1,1,0,0,0,1,1
ProspectID 1465,0,0,0,1,0,0,0
ProspectID 1466,1,1,0,1,0,0,1
ProspectID 1467,1,0,1,0,0,0,0
ProspectID 1468,0,0,0,1,0,0,0
ProspectID 1469,1,1,1,0,1,0,0
ProspectID 1470,1,1,1,0,1,0,0
ProspectID 1471,0,0,0,0,0,1,0
ProspectID 1472,1,1,1,0,1,1,0
ProspectID 1473,1,0,0,1,0,0,0
ProspectID 1474,0,0,0,1,0,1,1
ProspectID 1475,1,1,0,0,0,0,1
ProspectID 1476,1,1,1,1,0,0,0
ProspectID 1477,0,0,0,0,0,0,1
ProspectID 1478,1,1,1,0,1,0,0
ProspectID 1479,1,0,1,0,1,0,0
ProspectID 1480,0,0,0,0,0,0,0
ProspectID 1481,1,1,1,1,1,1,0
ProspectID 1482,1,1,0,1,0,1,0
ProspectID 1483,0,0,0,0,0,0,0
ProspectID 1484,1,1,0,1,0,1,0
ProspectID 1485,1,0,1,0,0,0,1
ProspectID 1486,0,0,0,0,0,0,1
ProspectID 1487,1,1,1,0,1,0,0
ProspectID 1488,1,1,1,0,1,0,1
ProspectID 1489,0,0,0,1,0,0,0
ProspectID 1490,1,1,1,1,1,0,0
ProspectID 1491,1,0,0,0,0,1,0
ProspectID 1492,0,0,0,1,0,1,0
ProspectID 1493,1,1,0,0,0,0,0
ProspectID 1494,1,1,1,0,0,1,0
ProspectID 1495,0,0,0,0,0,0,0
ProspectID 1496,1,1,1,0,1,0,1
ProspectID 1497,1,0,1,1,1,0,1
ProspectID 1498,0,0,0,1,0,0,0
ProspectID 1499,1,1,1,0,1,0,1
ProspectID 1500,1,1,0,1,0,0,0
ProspectID 1501,0,0,0,0,0,1,0
ProspectID 1502,1,1,0,0,0,1,0
ProspectID 1503,1,0,1,0,0,0,0
ProspectID 1504,0,0,0,0,0,1,0
ProspectID 1505,1,1,1,1,1,0,0
ProspectID 1506,1,1,1,1,1,0,0
ProspectID 1507,0,0,0,0,0,0,1
ProspectID 1508,1,1,1,1,1,0,1
ProspectID 1509,1,0,0,0,0,0,0
ProspectID 1510,0,0,0,0,0,0,1
ProspectID 1511,1,1,0,0,0,1,0
ProspectID 1512,1,1,1,0,0,1,0
ProspectID 1513,0,0,0,1,0,0,0
ProspectID 1514,1,1,1,1,1,1,0
ProspectID 1515,1,0,1,0,1,0,0
ProspectID 1516,0,0,0,1,0,0,0
ProspectID 1517,1,1,1,0,1,0,0
ProspectID 1518,1,1,0,0,0,0,1
ProspectID 1519,0,0,0,0,0,0,1
ProspectID 1520,1,1,0,0,0,0,0
ProspectID 1521,1,0,1,1,0,1,1
ProspectID 1522,0,0,0,1,0,1,0
ProspectID 1523,1,1,1,0,1,0,0
ProspectID 1524,1,1,1,1,1,1,0
ProspectID 1525,0,0,0,0,0,0,0
ProspectID 1526,1,1,1,0,1,0,0
ProspectID 1527,1,0,0,0,0,0,0
ProspectID 1528,0,0,0,0,0,0,0
ProspectID 1529,1,1,0,1,0,0,1
ProspectID 1530,1,1,1,1,0,0,1
ProspectID 1531,0,0,0,0,0,1,0
ProspectID 1532,1,1,1,1,1,1,1
ProspectID 1533,1,0,1,0,1,0,0
ProspectID 1534,0,0,0,0,0,1,0
ProspectID 1535,1,1,1,0,1,0,0
ProspectID 1536,1,1,0,0,0,0,0
ProspectID 1537,0,0,0,1,0,0,0
ProspectID 1538,1,1,0,1,0,0,0
ProspectID 1539,1,0,1,0,0,0,0
ProspectID 1540,0,0,0,1,0,0,1
ProspectID 1541,1,1,1,0,1,1,1
ProspectID 1542,1,1,1,0,1,1,0
ProspectID 1543,0,0,0,0,0,0,1
ProspectID 1544,1,1,1,0,1,1,0
ProspectID 1545,1,0,0,1,0,0,0
ProspectID 1546,0,0,0,1,0,0,0
ProspectID 1547,1,1,0,0,0,0,0
ProspectID 1548,1,1,1,1,0,0,0
ProspectID 1549,0,0,0,0,0,0,0
ProspectID 1550,1,1,1,0,1,0,0
ProspectID 1551,1,0,1,0,1,1,1
ProspectID 1552,0,0,0,0,0,1,1
ProspectID 1553,1,1,1,1,1,0,0
ProspectID 1554,1,1,0,1,0,1,1
ProspectID 1555,0,0,0,0,0,0,0
ProspectID 1556,1,1,0,1,0,0,0
ProspectID 1557,1,0,1,0,0,0,0
ProspectID 1558,0,0,0,0,0,0,0
ProspectID 1559,1,1,1,0,1,0,0
ProspectID 1560,1,1,1,0,1,0,0
ProspectID 1561,0,0,0,1,0,1,0
ProspectID 1562,1,1,1,1,1,1,1
ProspectID 1563,1,0,0,0,0,0,1
ProspectID 1564,0,0,0,1,0,1,0
ProspectID 1565,1,1,0,0,0,0,1
ProspectID 1566,1,1,1,0,0,0,0
ProspectID 1567,0,0,0,0,0,0,0
ProspectID 1568,1,1,1,0,1,0,0
ProspectID 1569,1,0,1,1,1,0,0
ProspectID 1570,0,0,0,1,0,0,0
ProspectID 1571,1,1,1,0,1,1,0
ProspectID 1572,1,1,0,1,0,1,0
ProspectID 1573,0,0,0,0,0,0,1
ProspectID 1574,1,1,0,0,0,1,1
ProspectID 1575,1,0,1,0,0,0,0
ProspectID 1576,0,0,0,0,0,0,1
ProspectID 1577,1,1,1,1,1,0,0
ProspectID 1578,1,1,1,1,1,0,0
ProspectID 1579,0,0,0,0,0,0,0
ProspectID 1580,1,1,1,1,1,0,0
ProspectID 1581,1,0,0,0,0,1,0
ProspectID 1582,0,0,0,0,0,1,0
ProspectID 1583,1,1,0,0,0,0,0
ProspectID 1584,1,1,1,0,0,1,1
ProspectID 1585,0,0,0,1,0,0,1
ProspectID 1586,1,1,1,1,1,0,0
ProspectID 1587,1,0,1,0,1,0,1
ProspectID 1588,0,0,0,1,0,0,0
ProspectID 1589,1,1,1,0,1,0,0
ProspectID 1590,1,1,0,0,0,0,0
ProspectID 1591,0,0,0,0,0,1,0
ProspectID 1592,1,1,0,0,0,1,0
ProspectID 1593,1,0,1,1,0,0,0
ProspectID 1594,0,0,0,1,0,1,0
ProspectID 1595,1,1,1,0,1,0,1
ProspectID 1596,1,1,1,1,1,0,1
ProspectID 1597,0,0,0,0,0,0,0
ProspectID 1598,1,1,1,0,1,0,1
ProspectID 1599,1,0,0,0,0,0,0
ProspectID 1600,0,0,0,0,0,0,0
ProspectID 1601,1,1,0,1,0,1,0
ProspectID 1602,1,1,1,1,0,1,0
ProspectID 1603,0,0,0,0,0,0,0
ProspectID 1604,1,1,1,1,1,1,0
